iter	Passed	Remaining
660	57522	29500
661	57630	29424
662	57735	29346
663	57835	29266
664	57884	29160
665	57991	29082
666	58088	29000
667	58129	28890
668	58170	28780
669	58262	28696
670	58342	28606
671	58431	28520
672	58515	28431
673	58599	28343
674	58686	28256
675	58765	28165
676	58858	28081
677	58951	27997
678	59043	27912
679	59138	27829
680	59225	27743
681	59320	27659
682	59375	27557
683	59471	27474
684	59565	27391
685	59666	27310
686	59720	27208
687	59813	27124
688	59923	27048
689	60023	26967
690	60112	26881
691	60195	26792
692	60289	26708
693	60364	26616
694	60460	26533
695	60551	26447
696	60647	26364
697	60738	26279
698	60840	26198
699	60935	26115
700	61027	26030
701	61126	25948
702	61218	25863
703	61318	25781
704	61411	25697
705	61503	25611
706	61593	25526
707	61688	25442
708	61788	25360
709	61878	25274
710	61962	25185
711	62046	25097
712	62147	25015
713	62244	24932
714	62361	24857
715	62454	24772
716	62547	24687
717	62638	24601
718	62728	24515
719	62817	24429
720	62900	24340
721	62993	24254
722	63088	24170
723	63173	24082
724	63264	23996
725	63351	23909
726	63439	23822
727	63546	23742
728	63638	23656
729	63727	23570
730	63812	23482
731	63903	23396
732	63995	23310
733	64083	23223
734	64136	23124
735	64233	23040
736	64322	22953
737	64400	22863
738	64497	22779
739	64599	22697
740	64692	22611
741	64785	22526
742	64891	22445
743	64976	22357
744	65069	22272
745	65175	22191
746	65258	22102
747	65349	22016
748	65440	21930
749	65532	21844
750	65630	21760
751	65724	21675
752	65805	21585
753	65895	21499
754	65989	21413
755	66084	21328
756	66163	21238
757	66256	21153
758	66345	21066
759	66450	20984
760	66545	20899
761	66643	20815
762	66739	20730
763	66837	20646
764	66943	20564
765	67028	20476
766	67130	20392
767	67228	20308
768	67316	20221
769	67405	20134
770	67507	20050
771	67599	19964
772	67672	19872
773	67770	19788
774	67861	19701
775	67959	19617
776	68050	19530
777	68145	19445
778	68239	19359
779	68334	19273
780	68411	19183
781	68495	19094
782	68584	19007
783	68679	18921
784	68770	18835
785	68861	18748
786	68951	18661
787	69048	18576
788	69139	18489
789	69226	18402
790	69321	18316
791	69408	18228
792	69502	18142
793	69583	18053
794	69678	17967
795	69766	17879
796	69857	17793
797	69954	17707
798	70044	17620
799	70134	17533
800	70236	17449
801	70303	17356
802	70397	17270
803	70489	17183
804	70580	17097
805	70671	17010
806	70749	16920
807	70837	16832
808	70920	16743
809	71013	16657
810	71107	16571
811	71189	16482
812	71275	16394
813	71365	16307
814	71443	16217
815	71530	16129
816	71617	16041
817	71708	15954
818	71795	15866
819	71886	15779
820	71983	15694
821	72075	15607
822	72169	15521
823	72266	15435
824	72361	15349
825	72449	15261
826	72541	15175
827	72630	15087
828	72728	15001
829	72818	14914
830	72910	14827
831	72996	14739
832	73088	14652
833	73175	14564
834	73261	14476
835	73359	14391
836	73452	14304
837	73537	14215
838	73621	14127
839	73708	14039
840	73757	13944
841	73841	13856
842	73937	13770
843	73983	13674
844	74084	13589
845	74176	13502
846	74235	13409
847	74322	13321
848	74366	13226
849	74446	13137
850	74533	13049
851	74631	12964
852	74713	12875
853	74802	12788
854	74892	12701
855	74998	12616
856	75091	12529
857	75181	12442
858	75266	12354
859	75365	12268
860	75454	12181
861	75551	12095
862	75645	12008
863	75731	11920
864	75819	11833
865	75908	11745
866	75997	11658
867	76100	11572
868	76196	11486
869	76293	11400
870	76396	11314
871	76489	11227
872	76576	11140
873	76665	11052
874	76762	10966
875	76860	10879
876	76954	10792
877	77045	10705
878	77143	10619
879	77234	10532
880	77319	10443
881	77402	10355
882	77499	10268
883	77592	10181
884	77681	10094
885	77773	10007
886	77867	9920
887	77955	9832
888	78040	9744
889	78132	9656
890	78234	9570
891	78327	9483
892	78409	9395
893	78490	9306
894	78557	9216
895	78649	9128
896	78732	9040
897	78835	8954
898	78914	8865
899	79004	8778
900	79109	8692
901	79195	8604
902	79288	8517
903	79394	8431
904	79494	8344
905	79589	8257
906	79684	8170
907	79779	8083
908	79865	7995
909	79947	7906
910	80046	7820
911	80137	7732
912	80238	7645
913	80328	7558
914	80423	7471
915	80522	7384
916	80617	7296
917	80714	7209
918	80816	7123
919	80919	7036
920	81006	6948
921	81109	6861
922	81198	6773
923	81258	6683
924	81346	6595
925	81444	6508
926	81535	6420
927	81591	6330
928	81676	6242
929	81754	6153
930	81844	6065
931	81886	5974
932	81965	5886
933	82056	5798
934	82102	5707
935	82186	5619
936	82269	5531
937	82361	5443
938	82455	5356
939	82551	5269
940	82623	5180
941	82721	5093
942	82819	5006
943	82914	4918
944	83002	4830
945	83080	4742
946	83168	4654
947	83267	4567
948	83343	4478
949	83444	4391
950	83539	4304
951	83653	4217
952	83735	4129
953	83826	4041
954	83917	3954
955	84005	3866
956	84106	3779
957	84195	3691
958	84299	3604
959	84363	3515
960	84449	3427
961	84543	3339
962	84633	3251
963	84711	3163
964	84807	3075
965	84898	2988
966	84976	2899
967	85061	2811
968	85144	2723
969	85234	2636
970	85311	2547
971	85403	2460
972	85501	2372
973	85577	2284
974	85677	2196
975	85782	2109
976	85867	2021
977	85946	1933
978	86040	1845
979	86124	1757
980	86224	1669
981	86312	1582
982	86397	1494
983	86487	1406
984	86580	1318
985	86670	1230
986	86756	1142
987	86838	1054
988	86913	966
989	87015	878
990	87109	791
991	87195	703
992	87272	615
993	87374	527
994	87418	439
995	87513	351
996	87621	263
997	87728	175
998	87809	87
999	87886	0
